project_name,tags,tags_processed
compose-multiplatform,"Compose UI, Jetpack Compose","{""Compose UI"",""Jetpack Compose""}"
mirai,"Bot, Chatbot, Asynchronous, Messaging","{""Bot"",""Chatbot"",""Asynchronous"",""Messaging""}"
kotlinx.coroutines,"Asynchronous, Concurrency","{""Asynchronous"",""Concurrency""}"
ktor,"Network, Web, HTTP","{""Network"",""Web"",""HTTP""}"
coil,"Graphics, Image, Network","{""Graphics"",""Image"",""Network""}"
koin,"Dependency Injection, Architecture","{""Dependency Injection"",""Architecture""}"
okio,"File, Performance Optimization","{""File"",""Performance Optimization""}"
arrow,Language Extensions,"{""Language Extensions""}"
sqldelight,"Storage, SQLite, Database, Data","{""Storage"",""SQLite"",""Database"",""Data""}"
mockk,Test,"{""Test""}"
kotlinx.serialization,"Serializer, Data, JSON","{""Serializer"",""Data"",""JSON""}"
Calendar,"Date-Time, Time zone, Scheduling","{""Date-Time"",""Time zone"",""Scheduling""}"
fuel,"Network, HTTP","{""Network"",""HTTP""}"
kotest,Test,"{""Test""}"
wire,"Network, Serializer, Messaging, Code Generation","{""Network"",""Serializer"",""Messaging"",""Code Generation""}"
kotlinpoet,Code Generation,"{""Code Generation""}"
apollo-kotlin,Network,"{""Network""}"
AboutLibraries,"Dependancy Management, License","{""Dependancy Management"",""License""}"
Kodein,"Dependency Injection, Architecture","{""Dependency Injection"",""Architecture""}"
Store,Storage,"{""Storage""}"
PeopleInSpace,"Data, Science","{""Data"",""Science""}"
kotlin-logging,Log,"{""Log""}"
clikt,Command Line Interface,"{""Command Line Interface""}"
voyager,Compose UI,"{""Compose UI""}"
turbine,Test,"{""Test""}"
kotlinx-datetime,kotlinx-datetime,"{""kotlinx-datetime""}"
spek,Test,"{""Test""}"
Decompose,Dependency Injection,"{""Dependency Injection""}"
sketch,Compose UI,"{""Compose UI""}"
landscapist,Compose UI,"{""Compose UI""}"
zipline,Utility,"{""Utility""}"
mosaic,UI,"{""UI""}"
molecule,Asynchronous,"{""Asynchronous""}"
skiko,UI,"{""UI""}"
kotlinx.html,"Web, HTML","{""Web"",""HTML""}"
redwood,UI,"{""UI""}"
Lavalink,"Audio, Bot","{""Audio"",""Bot""}"
multiplatform-settings,Storage,"{""Storage""}"
Emoji,Text,"{""Text""}"
sandwich,Language Extensions,"{""Language Extensions""}"
Ktorfit,Network,"{""Network""}"
kotlindl,Network,"{""Network""}"
circuit,UI,"{""UI""}"
openai-kotlin,"Service SDK, AI","{""Service SDK"",""AI""}"
kotlin-wrappers,UI,"{""UI""}"
alphaTab,Audio,"{""Audio""}"
kvision,"Web, UI","{""Web"",""UI""}"
kotlinx-io,File,"{""File""}"
kotlin-inject,Dependency Injection,"{""Dependency Injection""}"
Reaktive,Asynchronous,"{""Asynchronous""}"
ruler,UI,"{""UI""}"
workflow,State Management,"{""State Management""}"
appyx,Compose UI,"{""Compose UI""}"
Orbital,"UI, Animation","{""UI"",""Animation""}"
moko-resources,Resources,"{""Resources""}"
firebase-kotlin-sdk,Service SDK,"{""Service SDK""}"
KMP-NativeCoroutines,Asynchronous,"{""Asynchronous""}"
moko-mvvm,Dependency Injection,"{""Dependency Injection""}"
kotlin-result,Monads,"{""Monads""}"
haze,Utility,"{""Utility""}"
compose-cupertino,Compose UI,"{""Compose UI""}"
mordant,Command Line Interface,"{""Command Line Interface""}"
picnic,UI,"{""UI""}"
Compose-Rich-Editor,Compose UI,"{""Compose UI""}"
kotlinx-cli,Command Line Interface,"{""Command Line Interface""}"
Result,Language Extensions,"{""Language Extensions""}"
realm-kotlin,Storage,"{""Storage""}"
kord,Bot,"{""Bot""}"
orbit-mvi,Dependency Injection,"{""Dependency Injection""}"
telephoto,Compose UI,"{""Compose UI""}"
rebugger,Compose UI,"{""Compose UI""}"
kotlinx-atomicfu,Asynchronous,"{""Asynchronous""}"
openrndr,Animation,"{""Animation""}"
kotlin-math,Math,"{""Math""}"
PreCompose,Compose UI,"{""Compose UI""}"
ComposeReorderable,"Compose UI, Animation","{""Compose UI"",""Animation""}"
MVIKotlin,Dependency Injection,"{""Dependency Injection""}"
kable,Device,"{""Device""}"
Calf,Compose UI,"{""Compose UI""}"
compose-richtext,Text,"{""Text""}"
Napier,"Debug, Log","{""Debug"",""Log""}"
assertk,Test,"{""Test""}"
zircon,"UI, Graphics","{""UI"",""Graphics""}"
EitherNet,"Network, Data","{""Network"",""Data""}"
FlexibleBottomSheet,"Compose UI, Device","{""Compose UI"",""Device""}"
FlowRedux,Dependency Injection,"{""Dependency Injection""}"
lyricist,"UI, Text, Localization","{""UI"",""Text"",""Localization""}"
Kermit,"Debug, Log","{""Debug"",""Log""}"
roborazzi,"Test, Debug","{""Test"",""Debug""}"
SKIE,"Game Development, Graphics","{""Game Development"",""Graphics""}"
swipe,Gestures,"{""Gestures""}"
markdown,"HTML, Parsing, Text","{""HTML"",""Parsing"",""Text""}"
konform,Test,"{""Test""}"
kmath,Math,"{""Math""}"
fritz2,"Data, State Management, UI","{""Data"",""State Management"",""UI""}"
doodle,"Graphics, Rendering","{""Graphics"",""Rendering""}"
kotlin-csv,"CSV, Parsing, Data, File","{""CSV"",""Parsing"",""Data"",""File""}"
multik,"Math, Science, Data","{""Math"",""Science"",""Data""}"
KmLogging,Log,"{""Log""}"
kgql,"Debug, Log","{""Debug"",""Log""}"
webrtc-kmp,Network,"{""Network""}"
krossbow,Network,"{""Network""}"
moko-socket-io,Network,"{""Network""}"
rsocket-kotlin,Network,"{""Network""}"
kvault,Storage,"{""Storage""}"
kotbase,Storage,"{""Storage""}"
flower,Storage,"{""Storage""}"
cache4k,Storage,"{""Storage""}"
SQLiter,Storage,"{""Storage""}"
KStore,Storage,"{""Storage""}"
